ID,RegistrationDate,District,same_as_wikidata_distrito,Hood,same_as_wikidata_hood,HoodCanonized,Street,same_as_wikidata_street,StreetCanonized,Direction,DirectionCanonized,Number,Company,same_as_wikidata_company,Places,Longitude,Latitude
29,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Cortes,https://www.wikidata.org/wiki/Q2535637,01-03Cortes,calle del Marqués de Cubas,https://www.wikidata.org/wiki/Q19304646,CalleDelMarquesDeCubas, Calle Del Marques De Cubas 25,CalleDelMarquesDeCubas25,25,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.6958008,40.416244
30,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Palacio,https://www.wikidata.org/wiki/Q2136510,01-01Palacio,calle de Pavía,https://www.wikidata.org/wiki/Q30816733,CalleDePavia, Calle De Pavia 6,CalleDePavia6,6,BiciMAD,https://www.wikidata.org/wiki/Q17402113,27,-3.7115428,40.4193355
31,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Sol,https://www.wikidata.org/wiki/Q2465181,01-06Sol,Calle Mayor,https://www.wikidata.org/wiki/Q1149052,CalleMayor, Calle Mayor 18,CalleMayor18,18,BiciMAD,https://www.wikidata.org/wiki/Q17402113,27,-3.706625,40.4163446
32,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Sol,https://www.wikidata.org/wiki/Q2465181,01-06Sol,plaza de la Provincia,https://www.wikidata.org/wiki/Q12344133,PlazaDeLaProvincia, Plaza De La Provincia 1,PlazaDeLaProvincia1,1,BiciMAD,https://www.wikidata.org/wiki/Q17402113,18,-3.7061355,40.4148511
33,2019-02-22T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Sol,https://www.wikidata.org/wiki/Q2465181,01-06Sol,calle de las Carretas,https://www.wikidata.org/wiki/Q5740952,CalleDeLasCarretas, Calle De Las Carretas 3,CalleDeLasCarretas3,3,BiciMAD,https://www.wikidata.org/wiki/Q17402113,21,-3.7032096,40.4164757
35,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Palacio,https://www.wikidata.org/wiki/Q2136510,01-01Palacio,plaza del Cordón,https://www.wikidata.org/wiki/Q52063495,PlazaDelCordon, Plaza Del Cordon 1,PlazaDelCordon1,1,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.7103676,40.4141792
36,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Palacio,https://www.wikidata.org/wiki/Q2136510,01-01Palacio,plaza de Ramales,https://www.wikidata.org/wiki/Q2839150,PlazaDeRamales, Plaza De Ramales 5,PlazaDeRamales5,5,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.711764,40.4168229
37,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Palacio,https://www.wikidata.org/wiki/Q2136510,01-01Palacio,Plaza de San Francisco,https://www.wikidata.org/wiki/Q104969914,PlazaDeSanFrancisco, Plaza De San Francisco 5,PlazaDeSanFrancisco5,5,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.7141234,40.4108606
38,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Palacio,https://www.wikidata.org/wiki/Q2136510,01-01Palacio,Carrera de San Francisco,https://www.wikidata.org/wiki/Q24526469,CarreraDeSanFrancisco, Carrera De San Francisco 1,CarreraDeSanFrancisco1,1,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.7114443,40.4112961
39,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Palacio,https://www.wikidata.org/wiki/Q2136510,01-01Palacio,plaza de la Cebada,https://www.wikidata.org/wiki/Q9060972,PlazaDeLaCebada, Plaza De La Cebada 16,PlazaDeLaCebada16,16,BiciMAD,https://www.wikidata.org/wiki/Q17402113,27,-3.7090043,40.4112662
40,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Embajadores,https://www.wikidata.org/wiki/Q2449844,01-02Embajadores,calle del Conde de Romanones,https://www.wikidata.org/wiki/Q28026494,CalleDelCondeDeRomanones, Calle Del Conde De Romanones 2,CalleDelCondeDeRomanones2,2,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.7047463,40.4137865
